id	name	address	coordinates_lat	coordinates_lng	rating	rating_n	current_popularity	
ChIJu8vyBuJJXhMRfm0zkEgJDWU	SPORTS HOUSE	Smirnis 250, Patra	38.23710730	21.74389120	4.6000	57.0000	0
ChIJU9iH_p83XhMRvlOk16boN8k	Grill house πατρα	Voriou Ipirou 89, Patra	38.23340660	21.73127310	4.4000	33.0000	0
ChIJU9lb5SQ2XhMRC-mT4k-qJ5I	DIVINE CAFE	Delfon 30, Patra	38.23157130	21.72939530	4.5000	24.0000	0
ChIJUb5ZXC82XhMRXaOkeHvXc_Y	Lazaridis, J., Ltd	Akti Dimeon 35, Patra	38.23385900	21.72511250	4.9000	282.0000	0
ChIJUf_lbyY2XhMRg9OS_Tm8jC4	auto giannakopoulos	Korinthou 483, Patra	38.23571010	21.72785750	4.4000	30.0000	0
ChIJU_nWAOk3XhMRiIye0cMSMTE	Πέντε Δρόμοι	Agias Triados 20, Patra	38.23710550	21.73691310	0.0000	0.0000	0
ChIJV-Z3PRw2XhMRP_npsTE0kOI	Kokois George	Dorileou 4, Patra	38.23372650	21.74548720	4.8000	25.0000	0
ChIJv6i6xt9JXhMRVp9vNGd6MLY	Andrikópoulos	Nikita 60, Patra	38.24008060	21.73636600	4.5000	126.0000	0
ChIJvdLwXS1JXhMRif9ab2ps-gA	Σαν όνειρο	Maizonos 29, Patra	38.25006040	21.73953990	5.0000	4.0000	0
ChIJVeODuCE2XhMRcDFqFETdzdw	Theos, Lambros, & Co. O.E.	Voriou Ipirou 23, Patra	38.23503820	21.73594300	4.8000	36.0000	0
ChIJVfLnrMVJXhMRkzUAT7CxG4U	Ζαχαροπλαστείο Γιώργος	Smirnis 231, Patra	38.23726350	21.74335850	4.6000	21.0000	0
ChIJVQ35PeJJXhMRfqL9-SJiiv0	Marouda square	Karatza 114, Patra	38.23818830	21.74460460	3.9000	299.0000	42
ChIJVzAMZC82XhMRbhndkrdgnck	Ena Cash And Carry	Akti Dimeon 28, Patra	38.23464260	21.72529190	4.2000	69.0000	0
ChIJw1cp-C9JXhMR8v9XtGbMjCc	Mary Flogera Hairdressing Room	Georgiou Olimpiou 80, Patra	38.23879770	21.73463180	4.9000	12.0000	0
ChIJw3Fe5Cc2XhMRHcQgQkfA6ok	House Art - Είδη Διακόσμησης - Αυτοκόλλητα, ταπετσαρίες, πίνακες & παραβάν	Ακτή Δυμαίων 10 & Ευμήλου, Georgiou Olimpiou, Patra	38.23977080	21.72661250	4.7000	604.0000	0
ChIJW42MUT03XhMRGUH6OjHcTac	Didachos Bros - Auto	Dimitriou Maximou 54, Patra	38.23408060	21.72962910	4.9000	68.0000	0
ChIJW666Vxk2XhMRo_D2yOU6YsY	Ευθυγραμμίσεις Μπαρδάκης	Leoforos Georgiou Papandreou 72, Patra	38.23162110	21.74342090	4.8000	167.0000	0
ChIJw7aMQeJJXhMR4F6A4HR7Kio	Cooper Coffee & Snack	3ου ορειβατικού κ, Maragkopoulou, Patra	38.23815350	21.74537870	4.4000	415.0000	77
ChIJwdFpF-JJXhMRFRwIQP7phY8	Ανδρικοπουλος Super Market	Karatza 114, Patra	38.23786920	21.74449740	4.3000	123.0000	0
ChIJWQ__HeBJXhMRAKH10ZawcdQ	Nina Cafe Bar	Voulgareos 35, Patra	38.23806620	21.73919300	4.0000	1.0000	0
ChIJWz0kmCU2XhMR4zd8MYHwoOQ	Σταματόπουλος Βασίλειος - Ο Γερμανός	Voriou Ipirou 139, Patra	38.23331170	21.72706170	4.9000	18.0000	0
ChIJWzSxwiY2XhMR0MLasqi7eJs	Theodosiou	Solomous 68, Patra	38.23646750	21.73023420	4.3000	3.0000	0
ChIJx3OiIMg3XhMRFJiKIFiuXjs	ΚΡΕΑΤΑ ΑΧΑΙΑΣ Μανίκας Βασίλειος	Μεσολογγίου, Kapodistriou 44, Patra	38.23831480	21.73123790	4.7000	6.0000	0
ChIJXw7utONJXhMRtc156JXTs80	MILOS	3ou Oreivatikoy 24, Patra	38.23934230	21.74532430	4.5000	49.0000	0
ChIJXXD-Nt1JXhMRWCTJyMxS_Xg	adidas Store Patra	Agiou Nikolaou &, Agiou Andreou 27, Patra	38.25045800	21.73729900	3.7000	26.0000	0
ChIJxyaKVWlJXhMRKU0T1zcjjBo	nias hair art	Mesologgiou 19, Patra	38.23974840	21.73333010	4.3000	6.0000	0
ChIJxZ_BF0lJXhMRgcQowKpjoQ8	Way Out Cafe	Ionias 1, Patra	38.23845540	21.73954090	4.9000	23.0000	0
ChIJY4432yU2XhMR2jrWEN7aWls	Loukopoulou Georgia	Korinthou 418-420, Patra	38.23451390	21.72765740	4.4000	7.0000	0
ChIJYdZBLCY2XhMRZRAQwVO1aEg	JUMBO	Akti Dimeon 17, Patra	38.23738820	21.72637410	4.1000	1960.0000	87
ChIJYQIxGyE2XhMRupS59ERDUNc	Galaxias	Panachaikou 76, Patra	38.23607670	21.73376150	4.4000	248.0000	39
ChIJyRizl0hJXhMRYIWm34jaikk	MAD PIGEON	Riga Fereou 40, Patra	38.24966900	21.73738730	5.0000	15.0000	0
ChIJYW7ZL-hJXhMR9ve2dpMf5Io	Ελληνικά Ταχυδρομεία (ΕΛΤΑ)	Maizonos 32, Patra	38.24980440	21.73893910	1.5000	161.0000	60
ChIJZSZOWxk2XhMRx_ZGHpVteCc	Κοσμοπουλος Θεοφάνης&Γεώργιος	Leoforos Georgiou Papandreou 80, Patra	38.23086280	21.74271490	4.5000	146.0000	0
ChIJz_07-W03XhMRvRymy1Ccda0	KEEP THE CUP	Solomous 83, Patra	38.23624090	21.73033680	4.7000	60.0000	0
ChIJ_7nx_mxJXhMRSrp68dDU67M	Coffee Lab	Maizonos 47, Patra	38.24966510	21.73905410	4.4000	51.0000	0
ChIJ_cM58sE3XhMRCHVgkJkjUeQ	Σχολή Οδηγών - Δώρα Κ. Γιαννακοπούλου	Ionias 62, Patra	38.23620590	21.73993080	5.0000	7.0000	0
