id	type	
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	pet_store
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	point_of_interest
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	store
ChIJ8yJ6relJXhMRo2XqEv0keZU	establishment
ChIJ8yJ6relJXhMRo2XqEv0keZU	food
ChIJ8yJ6relJXhMRo2XqEv0keZU	grocery_or_supermarket
ChIJ8yJ6relJXhMRo2XqEv0keZU	point_of_interest
ChIJ8yJ6relJXhMRo2XqEv0keZU	store
ChIJ8yJ6relJXhMRo2XqEv0keZU	supermarket
ChIJa4Go5yc2XhMR-30hKzhbx_c	establishment
ChIJa4Go5yc2XhMR-30hKzhbx_c	food
ChIJa4Go5yc2XhMR-30hKzhbx_c	grocery_or_supermarket
ChIJa4Go5yc2XhMR-30hKzhbx_c	point_of_interest
ChIJa4Go5yc2XhMR-30hKzhbx_c	store
ChIJa4Go5yc2XhMR-30hKzhbx_c	supermarket
ChIJA8EOiMk3XhMRfLK_6kRsJS4	establishment
ChIJA8EOiMk3XhMRfLK_6kRsJS4	health
ChIJA8EOiMk3XhMRfLK_6kRsJS4	point_of_interest
ChIJA8XmnCc2XhMRoA2h45hqTg4	electronics_store
ChIJA8XmnCc2XhMRoA2h45hqTg4	establishment
ChIJA8XmnCc2XhMRoA2h45hqTg4	point_of_interest
ChIJA8XmnCc2XhMRoA2h45hqTg4	store
ChIJaczbf8JJXhMR9QcBFbdskRA	car_rental
ChIJaczbf8JJXhMR9QcBFbdskRA	establishment
ChIJaczbf8JJXhMR9QcBFbdskRA	point_of_interest
ChIJaeHBPuBJXhMRuNbzVocLWWA	establishment
ChIJaeHBPuBJXhMRuNbzVocLWWA	home_goods_store
ChIJaeHBPuBJXhMRuNbzVocLWWA	point_of_interest
ChIJaeHBPuBJXhMRuNbzVocLWWA	store
ChIJaSelXrpJXhMRn8muKjS7tz8	establishment
ChIJaSelXrpJXhMRn8muKjS7tz8	food
ChIJaSelXrpJXhMRn8muKjS7tz8	point_of_interest
ChIJaSelXrpJXhMRn8muKjS7tz8	store
ChIJaVrgkCU2XhMRvIk-RC18hoM	bakery
ChIJaVrgkCU2XhMRvIk-RC18hoM	establishment
ChIJaVrgkCU2XhMRvIk-RC18hoM	food
ChIJaVrgkCU2XhMRvIk-RC18hoM	point_of_interest
ChIJaVrgkCU2XhMRvIk-RC18hoM	store
ChIJAVs4m443XhMRBbxmCCI6f5Y	establishment
ChIJAVs4m443XhMRBbxmCCI6f5Y	gym
ChIJAVs4m443XhMRBbxmCCI6f5Y	health
ChIJAVs4m443XhMRBbxmCCI6f5Y	point_of_interest
ChIJB0BpiiM2XhMR0j9vb-iKkoc	casino
ChIJB0BpiiM2XhMR0j9vb-iKkoc	establishment
ChIJB0BpiiM2XhMR0j9vb-iKkoc	point_of_interest
ChIJb6ZtRxw2XhMR3wPLklk4dic	car_repair
ChIJb6ZtRxw2XhMR3wPLklk4dic	establishment
ChIJb6ZtRxw2XhMR3wPLklk4dic	point_of_interest
ChIJb6ZtRxw2XhMR3wPLklk4dic	store
ChIJB9uOmYM3XhMRcG8fh_Xmz7o	car_wash
ChIJB9uOmYM3XhMRcG8fh_Xmz7o	establishment
ChIJB9uOmYM3XhMRcG8fh_Xmz7o	point_of_interest
ChIJbaPLFeJJXhMRYPqDu15HzSs	establishment
ChIJbaPLFeJJXhMRYPqDu15HzSs	food
ChIJbaPLFeJJXhMRYPqDu15HzSs	point_of_interest
ChIJbaPLFeJJXhMRYPqDu15HzSs	restaurant
ChIJbzH1X0E3XhMRIZIsCrlLqgY	establishment
ChIJbzH1X0E3XhMRIZIsCrlLqgY	point_of_interest
ChIJCdQRw0Y3XhMRHeQx2bwPEAw	cafe
ChIJCdQRw0Y3XhMRHeQx2bwPEAw	establishment
ChIJCdQRw0Y3XhMRHeQx2bwPEAw	food
ChIJCdQRw0Y3XhMRHeQx2bwPEAw	point_of_interest
ChIJCw-wuz5JXhMRd2DwyJ14sxg	establishment
ChIJCw-wuz5JXhMRd2DwyJ14sxg	food
ChIJCw-wuz5JXhMRd2DwyJ14sxg	grocery_or_supermarket
ChIJCw-wuz5JXhMRd2DwyJ14sxg	point_of_interest
ChIJCw-wuz5JXhMRd2DwyJ14sxg	store
ChIJD12aA_c3XhMR3g61s7cKpQc	establishment
ChIJD12aA_c3XhMR3g61s7cKpQc	food
ChIJD12aA_c3XhMR3g61s7cKpQc	grocery_or_supermarket
ChIJD12aA_c3XhMR3g61s7cKpQc	point_of_interest
ChIJD12aA_c3XhMR3g61s7cKpQc	store
ChIJDU4ldCU2XhMRhYQRDJHqYB8	car_wash
ChIJDU4ldCU2XhMRhYQRDJHqYB8	establishment
ChIJDU4ldCU2XhMRhYQRDJHqYB8	point_of_interest
ChIJdz60KyA2XhMRiCVdmLDxyx8	drugstore
ChIJdz60KyA2XhMRiCVdmLDxyx8	establishment
ChIJdz60KyA2XhMRiCVdmLDxyx8	health
ChIJdz60KyA2XhMRiCVdmLDxyx8	point_of_interest
ChIJdz60KyA2XhMRiCVdmLDxyx8	store
ChIJD_GT-iQ2XhMRbFWExhIn4sI	establishment
ChIJD_GT-iQ2XhMRbFWExhIn4sI	food
ChIJD_GT-iQ2XhMRbFWExhIn4sI	point_of_interest
ChIJD_GT-iQ2XhMRbFWExhIn4sI	store
ChIJE5rqhOFJXhMREi7B5EA45Dw	establishment
ChIJE5rqhOFJXhMREi7B5EA45Dw	food
ChIJE5rqhOFJXhMREi7B5EA45Dw	point_of_interest
ChIJE5rqhOFJXhMREi7B5EA45Dw	restaurant
ChIJeRBLIEo3XhMRJQF6V6sC6MI	car_wash
ChIJeRBLIEo3XhMRJQF6V6sC6MI	establishment
ChIJeRBLIEo3XhMRJQF6V6sC6MI	point_of_interest
ChIJESBMBBk2XhMRi2SbsZ_zvMU	establishment
ChIJESBMBBk2XhMRi2SbsZ_zvMU	gym
ChIJESBMBBk2XhMRi2SbsZ_zvMU	health
ChIJESBMBBk2XhMRi2SbsZ_zvMU	point_of_interest
ChIJeT2kxTo2XhMRCntpyoHXt2A	establishment
ChIJeT2kxTo2XhMRCntpyoHXt2A	point_of_interest
ChIJeT2kxTo2XhMRCntpyoHXt2A	store
ChIJeWquqyE2XhMRLB_819PA_b0	establishment
ChIJeWquqyE2XhMRLB_819PA_b0	point_of_interest
ChIJeWquqyE2XhMRLB_819PA_b0	store
ChIJEzGdRic2XhMRYTCEu8QXinw	bakery
ChIJEzGdRic2XhMRYTCEu8QXinw	establishment
ChIJEzGdRic2XhMRYTCEu8QXinw	food
ChIJEzGdRic2XhMRYTCEu8QXinw	point_of_interest
ChIJEzGdRic2XhMRYTCEu8QXinw	store
ChIJF-Rg6dI3XhMRMNxaFTBLchg	cafe
ChIJF-Rg6dI3XhMRMNxaFTBLchg	establishment
ChIJF-Rg6dI3XhMRMNxaFTBLchg	food
ChIJF-Rg6dI3XhMRMNxaFTBLchg	point_of_interest
ChIJF-Rg6dI3XhMRMNxaFTBLchg	store
ChIJf0kcnSc2XhMRu-Lg9p3PZjI	car_repair
ChIJf0kcnSc2XhMRu-Lg9p3PZjI	establishment
ChIJf0kcnSc2XhMRu-Lg9p3PZjI	point_of_interest
ChIJf1c-xyU2XhMRQaIzEdB_B7k	establishment
ChIJf1c-xyU2XhMRQaIzEdB_B7k	point_of_interest
ChIJf1c-xyU2XhMRQaIzEdB_B7k	store
ChIJFaU1TBw2XhMRq87NWxs61hA	bakery
ChIJFaU1TBw2XhMRq87NWxs61hA	establishment
ChIJFaU1TBw2XhMRq87NWxs61hA	food
ChIJFaU1TBw2XhMRq87NWxs61hA	point_of_interest
ChIJFaU1TBw2XhMRq87NWxs61hA	store
ChIJfdC04No3XhMR8JrkZLvazh4	establishment
ChIJfdC04No3XhMR8JrkZLvazh4	food
ChIJfdC04No3XhMR8JrkZLvazh4	furniture_store
ChIJfdC04No3XhMR8JrkZLvazh4	home_goods_store
ChIJfdC04No3XhMR8JrkZLvazh4	point_of_interest
ChIJfdC04No3XhMR8JrkZLvazh4	shopping_mall
ChIJfdC04No3XhMR8JrkZLvazh4	store
ChIJFUgUqwY3XhMR_pCBkFi8rdI	establishment
ChIJFUgUqwY3XhMR_pCBkFi8rdI	hair_care
ChIJFUgUqwY3XhMR_pCBkFi8rdI	health
ChIJFUgUqwY3XhMR_pCBkFi8rdI	point_of_interest
ChIJFxIYOehJXhMRTnfIBMK7Cjw	electronics_store
ChIJFxIYOehJXhMRTnfIBMK7Cjw	establishment
ChIJFxIYOehJXhMRTnfIBMK7Cjw	point_of_interest
ChIJFxIYOehJXhMRTnfIBMK7Cjw	store
ChIJG5AcGCY2XhMRmpnpUDVG6Lc	establishment
ChIJG5AcGCY2XhMRmpnpUDVG6Lc	food
ChIJG5AcGCY2XhMRmpnpUDVG6Lc	point_of_interest
ChIJG5AcGCY2XhMRmpnpUDVG6Lc	restaurant
ChIJg67Oa4g3XhMRfLQlSnNC9hg	establishment
ChIJg67Oa4g3XhMRfLQlSnNC9hg	point_of_interest
ChIJg67Oa4g3XhMRfLQlSnNC9hg	store
ChIJGfuRsONJXhMRQ-9vUU0WSjI	establishment
ChIJGfuRsONJXhMRQ-9vUU0WSjI	food
ChIJGfuRsONJXhMRQ-9vUU0WSjI	point_of_interest
ChIJGfuRsONJXhMRQ-9vUU0WSjI	store
ChIJgwBl6SU2XhMRMjbygjBSboQ	car_repair
ChIJgwBl6SU2XhMRMjbygjBSboQ	establishment
ChIJgwBl6SU2XhMRMjbygjBSboQ	point_of_interest
ChIJgwBl6SU2XhMRMjbygjBSboQ	store
ChIJGYPtKyY2XhMRDq5n0hrb108	electronics_store
ChIJGYPtKyY2XhMRDq5n0hrb108	establishment
ChIJGYPtKyY2XhMRDq5n0hrb108	point_of_interest
ChIJGYPtKyY2XhMRDq5n0hrb108	shopping_mall
ChIJGYPtKyY2XhMRDq5n0hrb108	store
ChIJGyYZay82XhMRYIH_uvIjIH8	establishment
ChIJGyYZay82XhMRYIH_uvIjIH8	park
ChIJGyYZay82XhMRYIH_uvIjIH8	point_of_interest
ChIJGyYZay82XhMRYIH_uvIjIH8	tourist_attraction
ChIJh003YSY2XhMRXA3c9sHdMAw	establishment
ChIJh003YSY2XhMRXA3c9sHdMAw	food
ChIJh003YSY2XhMRXA3c9sHdMAw	grocery_or_supermarket
ChIJh003YSY2XhMRXA3c9sHdMAw	point_of_interest
ChIJh003YSY2XhMRXA3c9sHdMAw	store
ChIJH1FcPxw2XhMRzjMDiIppoZg	establishment
ChIJH1FcPxw2XhMRzjMDiIppoZg	food
ChIJH1FcPxw2XhMRzjMDiIppoZg	point_of_interest
ChIJH1FcPxw2XhMRzjMDiIppoZg	store
ChIJH2IPqSU2XhMRx52dM-Uwiwc	establishment
ChIJH2IPqSU2XhMRx52dM-Uwiwc	food
ChIJH2IPqSU2XhMRx52dM-Uwiwc	grocery_or_supermarket
ChIJH2IPqSU2XhMRx52dM-Uwiwc	point_of_interest
ChIJH2IPqSU2XhMRx52dM-Uwiwc	store
ChIJH2IPqSU2XhMRx52dM-Uwiwc	supermarket
ChIJHf2oKOhJXhMRU48jxmo1y6s	establishment
ChIJHf2oKOhJXhMRU48jxmo1y6s	point_of_interest
ChIJHf2oKOhJXhMRU48jxmo1y6s	store
ChIJhT1xJuhJXhMRB_dOMAB9G8A	establishment
ChIJhT1xJuhJXhMRB_dOMAB9G8A	food
ChIJhT1xJuhJXhMRB_dOMAB9G8A	point_of_interest
